mass,x,y,vx,vy
1e+14,108.105,115.471,0,-3407.43
1e+14,114.774,105.913,0,-448.011
1e+14,102.322,84.8241,0,-46.8762
1e+14,98.4163,115.318,0,-3357.37
1e+14,96.5655,109.61,0,-891.413
1e+14,109.195,105.732,0,-284.934
1e+14,85.6762,92.7408,0,-3389.38
1e+14,104.352,105.282,0,-1736.07
1e+14,104.252,94.3889,0,-4573.88
1e+14,110.988,104.787,0,-1744.16
1e+14,96.4494,91.2607,0,-4569.34
1e+14,103.198,83.979,0,-277.74
1e+14,108.858,116.442,0,-2719.63
1e+14,92.1946,114.151,0,-2629.04
1e+14,107.792,89.0891,0,-2295.99
1e+14,105.377,104.051,0,-662.123
1e+14,112.302,95.2097,0,-4467.74
1e+14,98.5354,85.078,0,-891.133
1e+14,114.656,94.3049,0,-3369.71
1e+14,92.4145,110.274,0,-4832.89
1e+14,116.04,92.3904,0,-4873.56
1e+14,93.7239,83.4465,0,-3198.46
1e+14,90.433,107.411,0,-420.721
1e+14,96.5705,94.3447,0,-2112.63
1e+14,96.8973,85.6471,0,-283.634
1e+14,112.995,102.058,0,-3038.28
1e+14,110.678,104.995,0,-1613.56
1e+14,88.0956,89.9982,0,-4617.76
1e+14,96.0847,96.1731,0,-2543.1
1e+14,109.839,89.1616,0,-4592.07
1e+14,107.013,101.448,0,-3408.32
1e+14,92.0329,96.1318,0,-2567.16
1e+14,111.007,97.3051,0,-502.419
1e+14,91.453,83.99,0,-3571.5
1e+14,98.1154,92.8477,0,-522.533
1e+14,105.288,113.123,0,-1169.95
1e+14,95.4345,100.465,0,-1648.53
1e+14,90.095,93.932,0,-4460.7
1e+14,87.053,99.1253,0,-4776.02
1e+14,96.5135,101.992,0,-2288.45
1e+14,112.718,89.7199,0,-4049.47
1e+14,85.1449,97.4894,0,-856.505
1e+14,89.6396,106.095,0,-3136.25
1e+14,114.759,83.7472,0,-2424.87
1e+14,102.827,107.906,0,-3309.81
1e+14,97.4514,98.3456,0,-3136.32
1e+14,108.744,89.8191,0,-1653.7
1e+14,92.9596,105.408,0,-879.184
