mass,x,y,vx,vy
1e+14,80.2169,-88.836,0,63.2371
1e+14,81.5062,-73.2391,0,893.066
1e+14,78.4846,-75.1402,0,120.499
1e+14,80.7979,-82.4629,0,2318.6
1e+14,81.2284,-82.12,0,4200
1e+14,80.258,-81.1946,0,4977.56
1e+14,78.3902,-76.8533,0,2998.46
1e+14,80.9542,-78.2925,0,4123.52
1e+14,80.0564,-77.6947,0,2028.48
1e+14,79.1832,-87.52,0,3665.22
1e+14,80.7068,-87.5192,0,392.31
1e+14,80.0277,-81.4698,0,3513.27
1e+14,79.5312,-79.6717,0,1719.63
1e+14,79.0495,-73.9747,0,1936.46
1e+14,79.7434,-72.9197,0,4096.04
1e+14,80.739,-76.2656,0,2301.93
1e+14,79.1361,-76.8888,0,3496.53
1e+14,79.145,-85.0109,0,72.6612
1e+14,78.5854,-85.7582,0,2861.03
1e+14,79.2676,-72.5609,0,3062.8
1e+14,79.3633,-83.4437,0,4596.99
1e+14,79.7122,-84.6735,0,2786.16
1e+14,80.4145,-78.2594,0,447.618
1e+14,78.8089,-74.5258,0,892.528
1e+14,80.7633,-88.5642,0,3820.95
1e+14,80.412,-71.2856,0,2722.27
1e+14,80.5018,-74.9449,0,3035.24
1e+14,80.474,-79.1247,0,2952.23
1e+14,79.4739,-75.2237,0,436.825
1e+14,78.7464,-71.3461,0,1328.95
1e+14,78.3869,-85.1872,0,4214.62
1e+14,79.1318,-87.876,0,2251.51
1e+14,81.2706,-85.6658,0,4612.63
1e+14,79.2774,-86.9107,0,1388.49
1e+14,78.9252,-81.7703,0,675.962
1e+14,80.6255,-81.7027,0,3970.87
1e+14,80.1462,-72.7402,0,3354.72
1e+14,79.025,-81.3646,0,1204.62
1e+14,80.7867,-86.3137,0,3782.27
1e+14,81.571,-74.5909,0,4032.24
1e+14,80.7815,-73.0529,0,201.92
1e+14,79.7736,-88.6308,0,2489.57
1e+14,80.6529,-83.4442,0,3210.18
1e+14,79.5897,-75.4633,0,719.455
1e+14,78.5183,-80.4688,0,4707.28
1e+14,80.2717,-81.7333,0,2820.72
1e+14,79.8342,-77.6897,0,4467.92
1e+14,80.7739,-81.7415,0,4703.32
1e+14,80.2233,-86.385,0,105.184
1e+14,79.7876,-81.2098,0,4381.34
1e+14,78.7658,-76.6843,0,4366.67
1e+14,81.3582,-72.0209,0,4038.17
1e+14,79.7535,-78.7883,0,3834.24
1e+14,80.0409,-71.7241,0,3829.81
1e+14,79.8418,-72.9141,0,658.491
1e+14,79.0661,-79.8802,0,521.872
1e+14,78.5529,-89.9867,0,693.183
1e+14,81.5086,-87.7428,0,1038.84
1e+14,79.6262,-71.186,0,4193.61
1e+14,80.2517,-74.4686,0,1683.7
1e+14,81.3902,-84.9109,0,4155.09
1e+14,78.5334,-73.1722,0,2929.15
1e+14,81.0592,-85.9408,0,1106.33
1e+14,80.1997,-77.5061,0,747.474
1e+14,78.9312,-81.137,0,1181.41
1e+14,79.6993,-79.8852,0,4939.43
1e+14,80.7033,-82.1369,0,4788.99
1e+14,79.0904,-83.3103,0,3829.72
1e+14,80.1166,-80.4,0,3258.92
1e+14,78.8308,-88.5994,0,1632.1
1e+14,80.1007,-87.9505,0,4870.45
1e+14,80.7673,-80.4397,0,1361.26
1e+14,80.8711,-77.7422,0,4820.24
1e+14,81.0876,-82.4071,0,4266.62
1e+14,79.511,-72.1906,0,3647.69
1e+14,81.5646,-86.1725,0,660.727
1e+14,79.2679,-84.6721,0,2402.36
1e+14,78.4016,-71.2176,0,1350.93
1e+14,81.0327,-84.0063,0,3807.29
1e+14,79.0786,-76.2063,0,3869.29
1e+14,80.3217,-79.3728,0,2553.28
1e+14,78.6514,-73.7073,0,2731.33
1e+14,79.0828,-72.6191,0,2862.56
1e+14,81.5386,-81.5907,0,110.954
1e+14,79.5778,-74.1804,0,3684.29
1e+14,81.3689,-74.2367,0,207.625
1e+14,80.5151,-77.6859,0,3515.99
1e+14,80.9696,-88.2405,0,960.252
1e+14,79.627,-78.2976,0,3159.22
1e+14,81.6475,-83.2329,0,458.141
1e+14,79.1094,-89.9321,0,3450.12
1e+14,80.1502,-89.9876,0,255.115
1e+14,80.7539,-76.0987,0,2075.84
1e+14,79.8381,-84.2596,0,4819.55
1e+14,81.3635,-82.1667,0,4936.61
1e+14,80.0373,-81.9959,0,3386.84
1e+14,81.1289,-77.5755,0,1161.67
1e+14,80.0206,-78.309,0,4467.93
1e+14,79.1533,-78.6479,0,2481.48
1e+14,80.826,-83.0396,0,3516.91
1e+14,80.839,-71.0928,0,641.921
1e+14,79.027,-75.6383,0,3113.65
1e+14,78.8168,-71.3509,0,4222.39
1e+14,79.381,-85.6957,0,3890.44
1e+14,78.9669,-75.1823,0,603.674
1e+14,78.8705,-84.2532,0,154.448
1e+14,78.7491,-85.2522,0,1427.42
1e+14,79.0617,-76.6428,0,4233.12
1e+14,78.78,-86.9199,0,3484.3
1e+14,79.0769,-84.9994,0,2002.51
1e+14,79.2855,-87.6711,0,1449.48
1e+14,78.4943,-75.295,0,676.816
1e+14,79.9111,-79.9383,0,1687.83
1e+14,80.344,-74.0227,0,1692.03
1e+14,79.7704,-74.7841,0,2605.89
1e+14,79.9563,-83.928,0,3602.81
1e+14,78.5387,-75.8633,0,3205.53
1e+14,79.5399,-75.7248,0,3752.41
1e+14,78.4551,-72.4197,0,941.583
1e+14,79.6788,-72.8547,0,3045.87
1e+14,78.8671,-87.5414,0,248.754
1e+14,80.1892,-85.1617,0,269.399
1e+14,80.5336,-75.5847,0,4235.63
1e+14,80.1408,-80.1084,0,4320.98
1e+14,80.6242,-74.5952,0,2178.76
1e+14,81.1577,-77.8453,0,2155.6
1e+14,80.8784,-83.6524,0,962.624
1e+14,80.6366,-85.156,0,1087.55
1e+14,81.2478,-89.2644,0,3125.74
1e+14,80.13,-75.3057,0,728.428
1e+14,80.445,-84.7221,0,1575.42
1e+14,78.3871,-72.7774,0,1240.86
1e+14,78.8023,-73.8808,0,146.112
1e+14,79.678,-89.8405,0,3873.21
1e+14,79.2029,-80.4671,0,150.908
1e+14,80.1546,-89.8789,0,4734.5
1e+14,79.11,-87.8881,0,3701.21
1e+14,81.2382,-73.5478,0,3682.06
1e+14,79.4351,-87.081,0,3135.99
1e+14,80.3406,-70.2454,0,13.2689
1e+14,78.7726,-74.5275,0,3868.96
1e+14,80.0905,-71.9312,0,1506.97
1e+14,79.1011,-86.9992,0,414.479
1e+14,80.8726,-86.4254,0,3430.05
1e+14,81.0097,-79.8534,0,4400.19
1e+14,80.3576,-81.2309,0,3391.92
