mass,x,y,vx,vy
1e9,-350.0,280.0,100.0,-50.0
1e9,510.0,-120.0,-30.0,220.0
1e9,70.0,-430.0,80.0,150.0
1e9,-200.0,300.0,-120.0,-70.0
1e9,180.0,250.0,40.0,-180.0
1e9,-460.0,-100.0,210.0,90.0
1e9,320.0,50.0,-60.0,130.0
1e9,100.0,-200.0,150.0,-40.0
1e9,-30.0,120.0,-90.0,-120.0
1e9,250.0,-350.0,70.0,60.0
1e9,-120.0,-400.0,-20.0,180.0
1e9,400.0,200.0,120.0,-50.0
1e9,-250.0,80.0,-110.0,120.0
1e9,380.0,-320.0,50.0,-90.0
1e9,-70.0,150.0,30.0,160.0
1e9,200.0,-270.0,-150.0,-20.0
1e9,-400.0,-180.0,90.0,-100.0
1e9,150.0,300.0,-80.0,-30.0
1e9,-320.0,-250.0,110.0,70.0
1e9,60.0,230.0,-60.0,-140.0
